,CODDEPTO,DEPARTAMENTO,2002,2003,2004,2005,2008,2009,2010,2011,2012,2013,2014
0,05,ANTIOQUIA,0.58,0.59,0.57,0.55,0.58,0.56,0.56,0.537,0.53,0.53,0.56
1,08,ATLÁNTICO,0.53,0.53,0.52,0.51,0.5,0.49,0.5,0.467,0.46,0.45,0.45
2,11,BOGOTÁ D.C.,0.57,0.55,0.56,0.56,0.53,0.53,0.53,0.522,0.5,0.5,0.5
3,13,BOLÍVAR,0.54,0.48,0.48,0.48,0.54,0.53,0.51,0.5,0.51,0.5,0.51
4,15,BOYACÁ,0.6,0.59,0.55,0.56,0.58,0.53,0.54,0.538,0.53,0.53,0.53
5,17,CALDAS,0.5,0.52,0.52,0.5,0.55,0.54,0.53,0.528,0.52,0.52,0.52
6,18,CAQUETÁ,0.53,0.51,0.49,0.53,0.48,0.49,0.45,0.459,0.48,0.47,0.47
7,19,CAUCA,0.53,0.47,0.53,0.5,0.59,0.59,0.57,0.554,0.57,0.55,0.54
8,20,CESAR,0.47,0.43,0.49,0.46,0.55,0.55,0.52,0.506,0.52,0.49,0.47
9,23,CÓRDOBA,0.56,0.55,0.53,0.54,0.53,0.56,0.55,0.556,0.54,0.53,0.5
10,25,CUNDINAMARCA,0.48,0.45,0.48,0.49,0.46,0.46,0.46,0.458,0.46,0.47,0.46
11,27,CHOCÓ,0.57,0.56,0.56,0.58,0.63,0.57,0.58,0.567,0.62,0.6,0.6
12,41,HUILA,0.54,0.53,0.51,0.51,0.58,0.58,0.57,0.555,0.56,0.55,0.55
13,44,LA GUAJIRA,0.48,0.5,0.49,0.47,0.59,0.57,0.62,0.567,0.56,0.56,0.55
14,47,MAGDALENA,0.5,0.45,0.46,0.46,0.56,0.53,0.54,0.533,0.51,0.5,0.49
15,50,META,0.51,0.5,0.48,0.49,0.5,0.5,0.5,0.492,0.5,0.47,0.47
16,52,NARIÑO,0.56,0.53,0.51,0.51,0.53,0.51,0.5,0.501,0.5,0.52,0.5
17,54,NORTE DE SANTANDER,0.49,0.51,0.52,0.49,0.5,0.52,0.49,0.498,0.49,0.48,0.49
18,63,QUINDÍO,0.5,0.51,0.54,0.52,0.57,0.54,0.54,0.532,0.53,0.5,0.5
19,66,RISARALDA,0.52,0.5,0.5,0.5,0.51,0.48,0.48,0.478,0.49,0.5,0.5
20,68,SANTANDER,0.53,0.53,0.5,0.53,0.49,0.51,0.5,0.501,0.49,0.49,0.5
21,70,SUCRE,0.5,0.49,0.49,0.47,0.54,0.52,0.54,0.51,0.48,0.47,0.48
22,73,TOLIMA,0.52,0.53,0.52,0.5,0.52,0.54,0.55,0.531,0.52,0.51,0.51
23,76,VALLE DEL CAUCA,0.52,0.52,0.52,0.54,0.52,0.51,0.52,0.505,0.52,0.5,0.49
